Date,Open,High,Low,Close,Adj Close,Volume
2020-01-21,38.500000,38.509998,38.299999,38.320000,34.178963,6999800
2020-01-22,38.130001,38.169998,37.709999,37.880001,33.786510,7873000
2020-01-23,37.779999,38.209999,37.700001,38.200001,34.071926,8189200
2020-01-24,38.150002,38.200001,38.000000,38.130001,34.009499,6441200
2020-01-27,37.520000,37.689999,37.320000,37.439999,33.394054,7945800
2020-01-28,37.590000,37.610001,37.380001,37.410000,33.367302,8183300
2020-01-29,37.410000,37.509998,37.130001,37.169998,33.153236,5587600
2020-01-30,36.830002,37.070000,36.509998,37.029999,33.028362,10591400
2020-01-31,36.240002,36.279999,35.869999,36.130001,32.225624,12518800
2020-02-03,35.900002,35.980000,35.070000,35.230000,31.422882,17224200
2020-02-04,36.910000,36.950001,36.220001,36.500000,32.555637,20783100
2020-02-05,37.470001,37.779999,37.349998,37.669998,33.599201,11978500
2020-02-06,37.250000,37.279999,36.770000,36.880001,32.894573,9641600
2020-02-07,36.330002,36.490002,36.279999,36.369999,32.439690,7769600
2020-02-10,36.180000,36.279999,36.020000,36.189999,32.279137,7835500
2020-02-11,36.669998,36.689999,36.410000,36.549999,32.600235,6969600
2020-02-12,37.049999,37.220001,36.880001,37.169998,33.153236,9822000
2020-02-13,36.130001,36.330002,36.040001,36.180000,32.826599,8125800
2020-02-14,36.130001,36.160000,35.639999,36.000000,32.663284,8804500
2020-02-18,35.750000,36.160000,35.720001,36.090000,32.744946,8514500
2020-02-19,35.990002,36.400002,35.919998,36.250000,32.890110,9434700
2020-02-20,36.160000,36.369999,35.910000,35.980000,32.645145,6518000
2020-02-21,35.630001,35.639999,35.209999,35.360001,32.082611,10693300
2020-02-24,33.939999,34.240002,33.860001,34.060001,30.903099,12423000
2020-02-25,34.049999,34.080002,32.779999,32.930000,29.877832,13983300
2020-02-26,33.060001,33.400002,32.650002,32.680000,29.651007,11302100
2020-02-27,31.930000,32.520000,31.450001,31.530001,28.607597,17600700
2020-02-28,30.059999,31.299999,29.709999,31.290001,28.389843,26025100
2020-03-02,31.549999,32.270000,31.120001,32.230000,29.242714,20401900
2020-03-03,32.500000,32.900002,31.450001,31.920000,28.961447,20721900
2020-03-04,32.599998,33.180000,32.369999,33.139999,30.068367,16523100
2020-03-05,32.599998,32.750000,32.200001,32.599998,29.578419,14383500
2020-03-06,31.420000,31.780001,30.830000,31.250000,28.353550,16798600
2020-03-09,24.830000,26.120001,24.200001,25.280001,22.936886,46759600
2020-03-10,27.129999,27.230000,25.139999,26.790001,24.306931,25094000
2020-03-11,25.540001,25.790001,24.370001,24.660000,22.374350,28811600
2020-03-12,22.260000,22.280001,21.049999,21.570000,19.570751,25202800
2020-03-13,22.570000,22.610001,20.500000,22.170000,20.115141,21556500
2020-03-16,19.049999,19.820000,18.600000,18.840000,17.093786,19486200
2020-03-17,18.570000,19.150000,17.500000,18.840000,17.093786,20337900
2020-03-18,17.530001,17.840000,15.510000,16.110001,14.616821,21048500
2020-03-19,16.150000,17.820000,15.770000,17.000000,15.424330,17597700
2020-03-20,18.240000,18.280001,16.910000,17.389999,15.778182,26443500
2020-03-23,17.990000,18.650000,17.330000,18.190001,16.504032,32360200
2020-03-24,20.620001,22.600000,20.320000,22.120001,20.069775,32232000
2020-03-25,23.930000,25.400000,23.120001,24.290001,22.038647,37556700
2020-03-26,24.219999,25.350000,23.709999,24.420000,22.156595,47558400
2020-03-27,22.969999,23.020000,22.080000,22.350000,20.278458,23224900
2020-03-30,23.260000,24.209999,22.559999,23.920000,21.702940,22853900
2020-03-31,24.980000,25.840000,24.020000,24.389999,22.129374,21194600
2020-04-01,25.230000,25.559999,24.110001,24.370001,22.111229,23461100
2020-04-02,25.969999,27.549999,25.059999,26.030001,23.617373,34967000
2020-04-03,25.459999,25.650000,24.110001,24.719999,22.428791,18464300
2020-04-06,24.709999,25.190001,24.330000,25.049999,22.728203,14911400
2020-04-07,25.260000,25.940001,24.590000,24.799999,22.501377,18976100
2020-04-08,24.700001,25.500000,24.530001,25.389999,23.036690,13992300
2020-04-09,25.330000,25.480000,24.320000,24.900000,22.592106,25680500
2020-04-13,25.430000,25.440001,24.559999,24.910000,22.601179,10434000
2020-04-14,24.440001,24.809999,24.160000,24.440001,22.174742,12335200
2020-04-15,23.320000,23.370001,22.570000,22.840000,20.723040,23633000
2020-04-16,22.200001,22.309999,21.719999,21.850000,19.824802,19866500
2020-04-17,22.549999,23.450001,22.469999,23.430000,21.258356,14878100
2020-04-20,22.260000,22.990000,22.170000,22.350000,20.278458,18106000
2020-04-21,21.540001,22.180000,21.280001,21.639999,19.634266,23740700
2020-04-22,22.980000,23.440001,22.719999,23.330000,21.167625,14883100
2020-04-23,23.430000,23.889999,23.260000,23.379999,21.212988,14592300
2020-04-24,23.590000,23.820000,23.040001,23.389999,21.222063,13161700
2020-04-27,23.139999,24.400000,22.830000,24.309999,22.056791,16002100
2020-04-28,23.969999,24.500000,23.770000,24.160000,21.920692,11909000
2020-04-29,25.100000,25.469999,25.020000,25.430000,23.072983,12443500
2020-04-30,24.240000,24.299999,23.600000,23.799999,21.594061,18558100
2020-05-01,22.920000,23.209999,22.629999,22.830000,20.713966,13474900
2020-05-04,22.680000,23.360001,22.530001,23.250000,21.095041,14212700
2020-05-05,24.420000,24.730000,23.799999,23.870001,21.657574,13556300
2020-05-06,24.150000,24.209999,23.520000,23.580000,21.394451,11111900
2020-05-07,24.350000,24.590000,23.950001,24.059999,21.829964,10125600
2020-05-08,24.030001,24.059999,23.709999,24.030001,22.388990,8177100
2020-05-11,23.570000,23.719999,23.389999,23.500000,21.895185,6961700
2020-05-12,23.730000,23.830000,23.059999,23.059999,21.485229,10151300
2020-05-13,23.090000,23.160000,22.120001,22.230000,20.711912,10590400
2020-05-14,21.750000,22.290001,21.200001,22.139999,20.628057,10762400
2020-05-15,21.790001,22.260000,21.620001,21.820000,20.329908,11161100
2020-05-18,23.309999,23.879999,23.290001,23.510000,21.904499,16729400
2020-05-19,23.700001,23.700001,22.910000,22.910000,21.345476,14223600
2020-05-20,23.549999,23.709999,23.340000,23.620001,22.006989,10497600
2020-05-21,23.730000,23.920000,23.110001,23.379999,21.783375,10641700
2020-05-22,22.980000,23.030001,22.559999,22.980000,21.410694,7943300
2020-05-26,23.350000,23.440001,23.150000,23.260000,21.671574,10086800
2020-05-27,24.100000,24.180000,23.480000,23.930000,22.295818,9544500
2020-05-28,23.799999,23.820000,23.209999,23.260000,21.671574,8673900
2020-05-29,22.860001,23.240000,22.719999,23.139999,21.559767,10202400
2020-06-01,23.150000,23.910000,23.010000,23.840000,22.211964,10749700
2020-06-02,24.719999,24.990000,24.610001,24.950001,23.246162,13095800
2020-06-03,25.670000,26.000000,25.549999,25.900000,24.131287,12323500
2020-06-04,25.629999,25.840000,25.250000,25.690001,23.935631,8651800
2020-06-05,27.250000,27.940001,27.250000,27.709999,25.817680,18396600
2020-06-08,28.450001,28.570000,27.860001,28.379999,26.441927,13501700
2020-06-09,27.540001,27.600000,27.040001,27.340000,25.472950,11900500
2020-06-10,26.889999,26.990000,26.280001,26.379999,24.578506,9728700
2020-06-11,25.080000,25.389999,24.030001,24.070000,22.426258,14777900
2020-06-12,25.000000,25.250000,24.209999,24.750000,23.059820,11725100
