Date,Open,High,Low,Close,Adj Close,Volume
2020-01-21,14126.120117,14153.019531,14102.389648,14109.980469,14109.980469,4105340000
2020-01-22,14147.889648,14168.200195,14104.059570,14110.240234,14110.240234,3619850000
2020-01-23,14064.280273,14109.589844,14003.280273,14102.040039,14102.040039,3764860000
2020-01-24,14120.019531,14120.019531,13920.570313,13978.469727,13978.469727,3707130000
2020-01-27,13746.629883,13826.429688,13742.009766,13769.599609,13769.599609,3823100000
2020-01-28,13812.650391,13913.589844,13798.339844,13877.610352,13877.610352,3526720000
2020-01-29,13912.790039,13922.440430,13843.790039,13843.809570,13843.809570,3584500000
2020-01-30,13745.200195,13869.639648,13699.809570,13861.919922,13861.919922,3787250000
2020-01-31,13783.809570,13788.219727,13573.040039,13614.099609,13614.099609,4527830000
2020-02-03,13655.889648,13765.330078,13655.889648,13677.919922,13677.919922,3757910000
2020-02-04,13826.099609,13920.629883,13826.099609,13862.839844,13862.839844,3995320000
2020-02-05,13964.000000,14029.910156,13947.589844,14024.860352,14024.860352,4117730000
2020-02-06,14066.900391,14069.330078,14023.480469,14034.950195,14034.950195,3868370000
2020-02-07,13987.509766,13987.509766,13912.040039,13931.929688,13931.929688,3730650000
2020-02-10,13904.019531,13984.549805,13899.530273,13984.480469,13984.480469,3450350000
2020-02-11,13984.480469,14100.269531,13984.480469,14054.080078,14054.080078,3760550000
2020-02-12,14117.830078,14148.240234,14108.519531,14136.980469,14136.980469,3926380000
2020-02-13,14069.250000,14132.879883,14049.129883,14099.040039,14099.040039,3498240000
2020-02-14,14104.769531,14110.190430,14046.599609,14097.339844,14097.339844,3398040000
2020-02-18,14047.910156,14072.690430,13990.700195,14039.009766,14039.009766,3746720000
2020-02-19,14077.509766,14115.950195,14066.240234,14087.129883,14087.129883,3600150000
2020-02-20,14061.040039,14104.919922,13955.750000,14061.480469,14061.480469,4007320000
2020-02-21,14014.629883,14014.629883,13931.129883,13975.780273,13975.780273,3899270000
2020-02-24,13654.000000,13654.000000,13493.679688,13534.120117,13534.120117,4842960000
2020-02-25,13570.209961,13582.740234,13110.089844,13143.730469,13143.730469,5591510000
2020-02-26,13194.309570,13323.339844,13041.940430,13046.620117,13046.620117,5478110000
2020-02-27,12841.400391,12977.179688,12544.990234,12547.250000,12547.250000,7058840000
2020-02-28,12547.250000,12547.250000,12024.450195,12380.969727,12380.969727,8563850000
2020-03-02,12441.429688,12830.129883,12316.179688,12827.990234,12827.990234,6376400000
2020-03-03,12845.059570,13015.660156,12432.519531,12542.740234,12542.740234,6355940000
2020-03-04,12696.610352,13011.450195,12673.900391,13009.959961,13009.959961,5035480000
2020-03-05,12740.860352,12786.639648,12489.769531,12593.030273,12593.030273,5575550000
2020-03-06,12593.030273,12593.030273,12106.740234,12352.030273,12352.030273,6552140000
2020-03-09,11748.610352,11748.610352,11240.769531,11298.429688,11298.429688,8423050000
2020-03-10,11635.219727,11794.009766,11246.519531,11793.269531,11793.269531,7635960000
2020-03-11,11523.940430,11523.940430,11053.790039,11177.290039,11177.290039,7374110000
2020-03-12,10466.700195,10646.919922,10054.469727,10060.759766,10060.759766,8829380000
2020-03-13,10445.440430,10851.750000,10060.349609,10851.740234,10851.740234,8258670000
2020-03-16,10851.980469,10851.980469,9559.230469,9567.530273,9567.530273,7781540000
2020-03-17,9726.179688,10154.160156,9484.650391,10063.360352,10063.360352,8358500000
2020-03-18,9562.490234,9666.570313,8953.599609,9384.599609,9384.599609,8755780000
2020-03-19,9313.759766,9622.209961,9048.360352,9461.309570,9461.309570,7946710000
2020-03-20,9577.900391,9676.940430,9108.150391,9133.160156,9133.160156,9044690000
2020-03-23,9014.580078,9053.490234,8664.940430,8777.379883,8777.379883,7402180000
2020-03-24,9276.639648,9672.009766,9276.639648,9658.320313,9658.320313,7547350000
2020-03-25,9749.799805,10303.900391,9591.740234,9961.379883,9961.379883,8285670000
